pair,frame,joint_angle_rms_rad,robot_rf_point_rms_m
sparse-neutral__sparse-a,60,0.0657706595006005,0.005402979505806572
sparse-neutral__sparse-a,61,0.06552235167299869,0.005393367318217715
sparse-neutral__sparse-a,62,0.06531013799595625,0.0053839951253299755
sparse-neutral__sparse-a,63,0.065132737302791,0.005374746023474248
sparse-neutral__sparse-a,64,0.064988608037018,0.00536535420245023
sparse-neutral__sparse-a,65,0.06487672205869027,0.005356270303737887
sparse-neutral__sparse-a,66,0.06477528501671152,0.00534739062045534
sparse-neutral__sparse-a,67,0.06467390497032464,0.005338014778635433
sparse-neutral__sparse-a,68,0.0645739676044203,0.005328921397426359
sparse-neutral__sparse-a,69,0.06447603175634298,0.005320329643706515
sparse-neutral__sparse-a,70,0.06438050747194166,0.005312323296253995
sparse-neutral__sparse-a,71,0.06428627338008627,0.005304526804605924
sparse-neutral__sparse-a,72,0.06419149982984786,0.005296056886845895
sparse-neutral__sparse-a,73,0.06409589300440591,0.005286651412681872
sparse-neutral__sparse-a,74,0.06399806865239346,0.005275475431018097
sparse-neutral__sparse-a,75,0.06389895076515649,0.005262732030956526
sparse-neutral__sparse-a,76,0.06379940952137907,0.005248918674899287
sparse-neutral__sparse-a,77,0.06370154124471979,0.005235758194559269
sparse-neutral__sparse-a,78,0.06360570278412508,0.005223299920192615
sparse-neutral__sparse-a,79,0.06351105069243183,0.005211001298696805
sparse-neutral__sparse-a,80,0.06341699011682754,0.0051982138643703844
sparse-neutral__sparse-a,81,0.06332330639649132,0.005184606861026273
sparse-neutral__sparse-a,82,0.0632298374013708,0.00517009017458585
sparse-neutral__sparse-a,83,0.06313790555381664,0.005155761043123375
sparse-neutral__sparse-a,84,0.0630475373644079,0.005142109381741566
sparse-neutral__sparse-a,85,0.06295782786923239,0.005128615819601986
sparse-neutral__sparse-a,86,0.06286766834649986,0.005114895848138939
sparse-neutral__sparse-a,87,0.06277719802288748,0.005101090743888455
sparse-neutral__sparse-a,88,0.06268760458315382,0.005087625906115698
sparse-neutral__sparse-a,89,0.06259807335507994,0.005074173648243343
sparse-neutral__sparse-a,90,0.06250885829784184,0.0050607046439179225
sparse-neutral__sparse-a,91,0.062420087727661104,0.005047188386388887
sparse-neutral__sparse-a,92,0.06233221706302457,0.005033628938157293
sparse-neutral__sparse-a,93,0.06224596600875625,0.005020119801368416
sparse-neutral__sparse-a,94,0.06216121931712125,0.005006377907413386
sparse-neutral__sparse-a,95,0.062078268604100414,0.004992395103064579
sparse-neutral__sparse-a,96,0.06199653502462107,0.004978401825290225
sparse-neutral__sparse-a,97,0.061914274081602515,0.0049641970120672145
sparse-neutral__sparse-a,98,0.06183142405147667,0.004949770376591285
sparse-neutral__sparse-a,99,0.06174843844295847,0.004935721131841221
sparse-neutral__sparse-a,100,0.061666262766884763,0.004922607317219197
sparse-neutral__sparse-a,101,0.06158410551768308,0.004910270904317193
sparse-neutral__sparse-a,102,0.06150500520564143,0.004899587517737986
sparse-neutral__sparse-a,103,0.061437252384053384,0.004891442785938504
sparse-neutral__sparse-a,104,0.06138133163821947,0.004884699421249623
sparse-neutral__sparse-a,105,0.06135528920648332,0.004881831754773984
sparse-neutral__sparse-a,106,0.06131499703930274,0.004876583272374842
sparse-neutral__sparse-a,107,0.061350856876378174,0.004880342383691376
sparse-neutral__sparse-a,108,0.061475743520567276,0.004897871425872927
sparse-neutral__sparse-a,109,0.06169333686135383,0.004944737770779299
sparse-neutral__sparse-a,110,0.06197820734732379,0.005056941060543089
sparse-neutral__sparse-a,111,0.06232142385599439,0.0053287556144518584
sparse-neutral__sparse-a,112,0.0627959292444686,0.005995350751817281
sparse-neutral__sparse-a,113,0.063571200009052,0.0075563297619713875
sparse-neutral__sparse-a,114,0.06419977323361477,0.010225491644067277
sparse-neutral__sparse-a,115,0.06425786033563342,0.01236117230846891
sparse-neutral__sparse-a,116,0.06216516623111323,0.010146947904678646
sparse-neutral__sparse-a,117,0.06078795063974517,0.0072421147844495565
sparse-neutral__sparse-a,118,0.060146589409474795,0.006012277875239519
sparse-neutral__sparse-a,119,0.059802280141026405,0.005800016901365626
sparse-neutral__sparse-a,120,0.05950999940061553,0.005908312949481497
sparse-neutral__sparse-a,121,0.059198782163143185,0.006146159718997772
sparse-neutral__sparse-a,122,0.058877844911106945,0.006392961736683766
sparse-neutral__sparse-a,123,0.05864847583734834,0.006540356724256741
sparse-neutral__sparse-a,124,0.05864033985849954,0.006734204307305108
sparse-neutral__sparse-a,125,0.05885504163952152,0.007119658078984286
sparse-neutral__sparse-a,126,0.059221069893453195,0.0076704475562294795
sparse-neutral__sparse-a,127,0.0596716249400857,0.008304770629993956
sparse-neutral__sparse-a,128,0.060159083626521614,0.00892141468231159
sparse-neutral__sparse-a,129,0.06063200006010397,0.009457919456001492
sparse-neutral__sparse-a,130,0.06104032494670665,0.009859456381855288
sparse-neutral__sparse-a,131,0.0613556201177319,0.010128196521738278
sparse-neutral__sparse-a,132,0.06154969560128153,0.010308522738180339
sparse-neutral__sparse-a,133,0.06192147434927453,0.010670456367881212
sparse-neutral__sparse-a,134,0.062100527984784604,0.011025025459615357
sparse-neutral__sparse-a,135,0.06217158444283303,0.01138789766420064
sparse-neutral__sparse-a,136,0.06202977122807852,0.011630410492279624
sparse-neutral__sparse-a,137,0.06197352018066862,0.011708822628838655
sparse-neutral__sparse-a,138,0.061840574442239386,0.01162179602290196
sparse-neutral__sparse-a,139,0.061642554799638156,0.011198400832845934
sparse-neutral__sparse-a,140,0.06149037798865503,0.01082226941920672
sparse-neutral__sparse-a,141,0.06142699724555104,0.010410644157325597
sparse-neutral__sparse-a,142,0.06140609381996062,0.009951889015970728
sparse-neutral__sparse-a,143,0.06135790448491795,0.009570109807243137
sparse-neutral__sparse-a,144,0.06131076539834422,0.009192845140363374
sparse-neutral__sparse-a,145,0.06126453149073503,0.008828093760380374
sparse-neutral__sparse-a,146,0.06115675759852505,0.008542091997672653
sparse-neutral__sparse-a,147,0.061016779646456375,0.008313414820724037
sparse-neutral__sparse-a,148,0.060882984508413895,0.00809910366255069
sparse-neutral__sparse-a,149,0.06081893711864739,0.007878803853260827
sparse-neutral__sparse-a,150,0.06099004648917837,0.008984732107536893
sparse-neutral__sparse-a,151,0.06078656815577879,0.0073484184667834745
sparse-neutral__sparse-a,152,0.06100679087726855,0.007238078980704794
sparse-neutral__sparse-a,153,0.061498163976187556,0.00760492082062866
sparse-neutral__sparse-a,154,0.06458726699113684,0.013620162956006808
sparse-neutral__sparse-a,155,0.06314531686765407,0.011737814141773682
sparse-neutral__sparse-a,156,0.06268704600354442,0.010724540823731126
sparse-neutral__sparse-a,157,0.0625772787450688,0.010339715326978086
sparse-neutral__sparse-a,158,0.06257897281571884,0.010298481374525307
sparse-neutral__sparse-a,159,0.06264713816432681,0.010362997402621206
sparse-neutral__sparse-a,160,0.06277094136510582,0.01042392512916466
sparse-neutral__sparse-a,161,0.06293827742472091,0.010441730650678485
sparse-neutral__sparse-a,162,0.06753564225244553,0.01306313410328065
sparse-neutral__sparse-a,163,0.061831980301147525,0.008423419427824173
sparse-neutral__sparse-a,164,0.06179870875610205,0.0075748867577136725
sparse-neutral__sparse-a,165,0.061608430709817676,0.006657081759324243
sparse-neutral__sparse-a,166,0.061331620269221274,0.005828102265247842
sparse-neutral__sparse-a,167,0.061047093586908116,0.005175845775677172
sparse-neutral__sparse-a,168,0.06098583041757453,0.005002331522790729
sparse-neutral__sparse-a,169,0.06266320051391505,0.008527722534819886
sparse-neutral__sparse-a,170,0.0618174856473895,0.00781605673414073
sparse-neutral__sparse-a,171,0.06158873712800214,0.008055653428991545
sparse-neutral__sparse-a,172,0.06163830813548843,0.008664394223947937
sparse-neutral__sparse-a,173,0.061676028695791224,0.00930059742892445
sparse-neutral__sparse-a,174,0.06154505068977439,0.009730480854299778
sparse-neutral__sparse-a,175,0.06132367361443068,0.009867779431449931
sparse-neutral__sparse-a,176,0.061055286338001,0.009725488499064539
sparse-neutral__sparse-a,177,0.06079637904601309,0.009397283323438355
sparse-neutral__sparse-a,178,0.06055183113917633,0.008868301498248085
sparse-neutral__sparse-a,179,0.060285439630853845,0.008390228509396087
sparse-neutral__sparse-a,180,0.06003266968206911,0.007886737642474806
sparse-neutral__sparse-a,181,0.0597618791575931,0.00733382540492852
sparse-neutral__sparse-a,182,0.059415672792906125,0.006994678510063599
sparse-neutral__sparse-a,183,0.059134944832838474,0.0068367116632800885
sparse-neutral__sparse-a,184,0.05875901338229582,0.00662778200411971
sparse-neutral__sparse-a,185,0.05860123463255443,0.006442799498958491
sparse-neutral__sparse-a,186,0.059017904813656735,0.0062600905729693415
sparse-neutral__sparse-a,187,0.060301063657121956,0.0063560107018385435
sparse-neutral__sparse-a,188,0.06136299803525181,0.006578515683607258
sparse-neutral__sparse-a,189,0.06166073244080967,0.006579058586658731
sparse-neutral__sparse-a,190,0.06190678249569736,0.006597491891529825
sparse-neutral__sparse-a,191,0.062108594777310136,0.00663010311381607
sparse-neutral__sparse-a,192,0.06234063581335817,0.006686468927554424
sparse-neutral__sparse-a,193,0.06264041651883365,0.006757678718772083
sparse-neutral__sparse-a,194,0.06297453332131266,0.006800017081781675
sparse-neutral__sparse-a,195,0.06329254472409529,0.0067830637132402305
sparse-neutral__sparse-a,196,0.0635664569832912,0.006705174659375444
sparse-neutral__sparse-a,197,0.06372558941293624,0.006536327053539276
sparse-neutral__sparse-a,198,0.06335791074383136,0.006011243191256064
sparse-neutral__sparse-a,199,0.06279338431895443,0.005541522768223048
sparse-neutral__sparse-a,200,0.06202684694179266,0.005017162509871584
sparse-neutral__sparse-a,201,0.0614722569292312,0.004658536548066284
sparse-neutral__sparse-a,202,0.06120297224309278,0.004468457061554422
sparse-neutral__sparse-a,203,0.061194831712437725,0.004446244248865794
sparse-neutral__sparse-a,204,0.06149502470964166,0.004687304549518894
sparse-neutral__sparse-a,205,0.06269963343366683,0.005582412692785863
sparse-neutral__sparse-a,206,0.06320442104373014,0.006009517374564898
sparse-neutral__sparse-a,207,0.06422252766884642,0.006872645060229389
sparse-neutral__sparse-a,208,0.06547340211114215,0.008080625871777368
sparse-neutral__sparse-a,209,0.06601468229856328,0.009333934507178867
sparse-neutral__sparse-a,210,0.06602361009758047,0.010432851237062668
sparse-neutral__sparse-a,211,0.06602026190331357,0.011048587848975413
sparse-neutral__sparse-a,212,0.06596456172518246,0.011168594839378973
sparse-neutral__sparse-a,213,0.06581392499736573,0.010932982124815686
sparse-neutral__sparse-a,214,0.06558296054299033,0.010490502847497503
sparse-neutral__sparse-a,215,0.06525044072078141,0.009935670784782927
sparse-neutral__sparse-a,216,0.06473432864612232,0.009356907855070368
sparse-neutral__sparse-a,217,0.06408622405998993,0.008755009411953937
sparse-neutral__sparse-a,218,0.06345442269808098,0.008340675398543775
sparse-neutral__sparse-a,219,0.06285753013093837,0.008030702299038035
sparse-neutral__sparse-a,220,0.062303070604936096,0.007770456760992253
sparse-neutral__sparse-a,221,0.06215409551418082,0.007655191198768165
sparse-neutral__sparse-a,222,0.062375547730822524,0.007607749119455212
sparse-neutral__sparse-a,223,0.06263108698868378,0.007434933491023805
sparse-neutral__sparse-a,224,0.06279634900109486,0.007198808329503562
sparse-neutral__sparse-a,225,0.06364553579502003,0.007240442151865717
sparse-neutral__sparse-a,226,0.0646702390047299,0.007489386907673749
sparse-neutral__sparse-a,227,0.06524976943766664,0.007753743505368873
sparse-neutral__sparse-a,228,0.0655493293749989,0.00795119192472104
sparse-neutral__sparse-a,229,0.0655853161190575,0.00791080902738973
sparse-neutral__sparse-a,230,0.06566324277900308,0.00788616468090757
sparse-neutral__sparse-a,231,0.06683906599938115,0.010124530542642415
sparse-neutral__sparse-a,232,0.0660767044478032,0.007373216027169441
sparse-neutral__sparse-a,233,0.06595184463684686,0.007280160441007156
sparse-neutral__sparse-a,234,0.06521263691376371,0.006720766465291432
sparse-neutral__sparse-a,235,0.06424285087716823,0.005972877209359518
sparse-neutral__sparse-a,236,0.06536399466972917,0.008428509690823632
sparse-neutral__sparse-a,237,0.06441971160508406,0.007375079335695213
sparse-neutral__sparse-a,238,0.06409654325928466,0.006603799279395478
sparse-neutral__sparse-a,239,0.0643131746090205,0.006193764026110633
sparse-neutral__sparse-a,240,0.06491970770283842,0.006170501281608441
sparse-neutral__sparse-a,241,0.06585616338169702,0.006470237708952097
