label,root_position_residual_mean_m,root_position_residual_p95_m,four_ee_position_residual_mean_m,four_ee_position_residual_p95_m,dense_added_position_residual_mean_m,all_declared_position_residual_mean_m
sparse-neutral,0.00016158827408251244,0.0007655506423920667,0.00485829653468608,0.014889541501614542,0.0,0.003918954882565366
sparse-a,0.00015856702300587265,0.0007707214405628969,0.0048999530752740295,0.014871841070319086,0.0,0.0039516758648203976
sparse-b,0.00015427649591949624,0.0007309687620242384,0.0048441712080321475,0.01489270241015791,0.0,0.0039061922656096174
dense,0.008578637560437802,0.015100555708950482,0.016101654022804508,0.032798780301586436,0.10104725175520132,0.07562072204200421
