method,frames,source_frames,completion_ratio,completion_status,static_height_scale,rf_kpe_all_mean_m,rf_kpe_all_p95_m,rf_kpe_targeted_mean_m,rf_kpe_untracked_mean_m,bone_direction_mean_rad,bend_plane_mean_rad,root_translation_mean_m,root_yaw_mean_rad,joint_velocity_rms_mean_rad_s,joint_acceleration_rms_mean_rad_s2,joint_jerk_rms_p95_rad_s3,pose_jump_p95_m,foot_skating_frame_rate,ground_penetration_frame_rate,ground_penetration_max_m,joint_limit_violation_frame_rate,artifact_rate,solve_time_median_s,solve_time_p95_s,self_collision_in_primary_metric,robot_model_sha256,label,output_sha256
dense,600,600,1.0,succeeded,0.7337406303936127,0.3221183562365709,0.39416626628972684,0.4368028173215479,0.28389020254157865,0.8283741912616098,0.6586391084999422,0.31343814144338916,0.9694668876500971,0.5804696170692155,8.813196357941045,1506.6862113370228,0.04332017744656442,0.23166666666666666,0.14166666666666666,0.0301288376637169,0.0,0.3333333333333333,0.0007833864947315305,0.007992125101736747,False,0555862e648ad9b4a1e4e773fa888a7ea6e3795c79b1ebfd7e36c3976615bb24,dense,8b19e35aab03da6dc3802456e26d39ca0ff189e37d29b5018f572cf80c208e13
gmr,600,600,1.0,succeeded,0.7380172506565227,0.32386460519134275,0.3948959105745095,0.43537200462718334,0.28669547204606255,0.7583323510054767,0.6927303532239004,0.2997169091693232,0.4063476372772345,0.8623440169301853,15.448942114587368,1796.9077180353013,0.04330839602448058,0.065,0.0016666666666666668,0.01137925087522029,0.0,0.06666666666666667,0.003949173013097607,0.005758194839290808,False,0555862e648ad9b4a1e4e773fa888a7ea6e3795c79b1ebfd7e36c3976615bb24,gmr,01ce5cb60e5598f2cba6ed0b341c6ccbcdb622d7ce8849351058b9f360800fa7
omniretarget,600,600,1.0,succeeded,0.7393394978259102,0.3167272045258378,0.3881740245855138,0.42453706198065333,0.2807905853742326,0.7994439194238069,0.6531972349804414,0.04072238770143327,0.4278378086805856,0.589341211245608,7.409953861854442,604.0731195023732,0.0383361465564861,0.5333333333333333,0.0,0.0010139895904708648,0.0,0.5333333333333333,0.21494946849998087,0.5610974665120011,False,0555862e648ad9b4a1e4e773fa888a7ea6e3795c79b1ebfd7e36c3976615bb24,omniretarget,41265d21d430868a4def0d15a5023e2a349f857e147a1babd4c5804f7243abfd
sparse-a,600,600,1.0,succeeded,0.7274143014418226,0.3252099285688918,0.39580720456995666,0.43814583551418007,0.28756462625379575,0.8113923980621301,0.8795019909715094,0.3260051282422834,0.9559785095278566,0.5705185323553574,8.31918923491477,945.0560483065216,0.04357625255030398,0.32166666666666666,0.9166666666666666,0.07216181692451701,0.0,0.9516666666666667,0.00044359901221469045,0.0020349948012153615,False,0555862e648ad9b4a1e4e773fa888a7ea6e3795c79b1ebfd7e36c3976615bb24,sparse-a,d0af7979f356cd44c2da2aee78d368723c37cf5516b5ee393ffc62e507334946
sparse-b,600,600,1.0,succeeded,0.7326478152194554,0.3257615396498298,0.39686683587514093,0.43846959676260516,0.2881921872789047,0.8047377011242005,0.841427627588482,0.3167980604102511,0.9615958112881183,0.5864860807193495,8.727825750573585,1052.9879277294033,0.04517093521450874,0.32166666666666666,0.885,0.07233688017016927,0.0,0.9483333333333334,0.0004827579978154972,0.002650227202684618,False,0555862e648ad9b4a1e4e773fa888a7ea6e3795c79b1ebfd7e36c3976615bb24,sparse-b,22fba20dcfe3290cdb630cc5fb3b508d24366d39f436a04b7d96c83e01bcb463
sparse-neutral,600,600,1.0,succeeded,0.7338126448741735,0.3255082266096715,0.39701801256301467,0.43850351158481504,0.28784313161795705,0.8077532547492814,0.8068683530971829,0.3123660561114414,0.9581817101318635,0.5675447270943134,8.281526975584613,949.8508118723768,0.04327051721825603,0.325,0.9116666666666666,0.07140388313657746,0.0,0.9566666666666667,0.00044144949060864747,0.0020148625495494342,False,0555862e648ad9b4a1e4e773fa888a7ea6e3795c79b1ebfd7e36c3976615bb24,sparse-neutral,ad8639973c266e27fc0205867714bf2b6f412c1f3ab6aac9c95ae7d003fe73f3
