label,common_static_scale,native_root_scale,effective_root_xy_scale,root_scale_bias_fraction,root_translation_common_scale_mean_m,root_translation_native_scale_mean_m,root_translation_scale_invariant_mean_m,effective_minus_native_scale
dense,0.7420370439847394,0.7420370439847394,0.743491291174446,0.0019598040306685327,0.03263093026355847,0.03263093026355847,0.032382719548035614,0.001454247189706659
gmr,0.7420370439847394,0.875,0.8750192170272284,0.1792123103832859,0.29092399447730993,0.0019917379599904473,0.0019903864468974594,1.9217027228402017e-05
omniretarget,0.7420370439847394,0.7470588235294118,0.7511247566841113,0.012246979814607206,0.03648234289918462,0.030546371932935006,0.028767381201097172,0.004065933154699497
sparse-a,0.7420370439847394,0.7420370439847394,0.7420440478554367,9.438707614606301e-06,0.00016250336292385805,0.00016250336292385805,0.0001600825017754883,7.003870697297465e-06
sparse-b,0.7420370439847394,0.7420370439847394,0.7420463390703533,1.2526444184146612e-05,0.00016682022340581675,0.00016682022340581675,0.00016382188842364856,9.295085613980625e-06
sparse-neutral,0.7420370439847394,0.7420370439847394,0.7420452722952992,1.1088813727688773e-05,0.0001739125479421826,0.0001739125479421826,0.00017105395931934082,8.228310559799112e-06
