label,end_to_end_rtf_median,native_core_rtf_median,end_to_end_rtf_cv,cold_process_wall_s,cold_import_startup_s,initialization_and_adapter_s_cold
sparse-neutral,0.03148415986142807,0.027276692700986968,0.01185629507458749,1.2392047600005753,0.2607247020059731,0.4219654304033611
sparse-a,0.03090339823471092,0.0268385722756856,0.01762207806583667,1.2781570140214171,0.27479005901841447,0.43157194726518355
sparse-b,0.03210014500730439,0.027894227781032833,0.017528739868081185,1.2634869230096228,0.27319040600559674,0.4286801277776249
dense,0.0694799659900173,0.06300489205506365,0.006896178310276889,1.9431184449931607,0.2847043619840406,0.460526323877275
gmr,0.11915638881832846,0.11915638881832846,0.008585582670307006,4.182822834001854,0.41062944900477305,1.4135983519081492
omniretarget,9.59569884443823,9.368638542447059,0.006452276063770218,192.54475997798727,0.6729221059940755,6.284398985968437
