label,frame,root_position_residual_m,four_ee_position_residual_m,dense_added_position_residual_m,all_declared_position_residual_m,left_wrist_position_residual_m,right_wrist_position_residual_m,left_ankle_position_residual_m,right_ankle_position_residual_m,torso_position_residual_m,head_position_residual_m,left_shoulder_position_residual_m,right_shoulder_position_residual_m,left_elbow_position_residual_m,right_elbow_position_residual_m,left_hip_position_residual_m,right_hip_position_residual_m,left_knee_position_residual_m,right_knee_position_residual_m,left_toe_position_residual_m,right_toe_position_residual_m
sparse-neutral,0,7.40242979699335e-05,0.013849729484841729,0.0,0.01109458844746737,0.0354058595490162,0.01996987608501236,1.7852710221379315e-05,5.329595116977264e-06,,,,,,,,,,,,
sparse-neutral,1,6.846985652406146e-05,0.013707222888368087,0.0,0.010979472281999282,0.033958987017442266,0.020851495682507295,1.4174848469456528e-05,4.2340050533296365e-06,,,,,,,,,,,,
sparse-neutral,2,6.96603259123893e-05,0.013711460178691291,0.0,0.01098310020813551,0.033925832770970304,0.020895208611142663,1.5717331874803388e-05,9.08200077739212e-06,,,,,,,,,,,,
sparse-neutral,3,7.036923071722303e-05,0.013732121164802087,0.0,0.010999770777985115,0.033907805581128596,0.020994905663654913,1.607978656914359e-05,9.693627855696914e-06,,,,,,,,,,,,
sparse-neutral,4,7.112035516853444e-05,0.013768795443571591,0.0,0.01102926042589098,0.03392069556545732,0.021127872090202504,1.6355911160752288e-05,1.0258207465783723e-05,,,,,,,,,,,,
sparse-neutral,5,7.201955146358525e-05,0.01382060516893224,0.0,0.011070888045438508,0.03396038931468361,0.021295274953495327,1.6402302362837103e-05,1.0354105187183738e-05,,,,,,,,,,,,
sparse-neutral,6,7.296467030074526e-05,0.01389200477048728,0.0,0.011128196750449971,0.03403398294989653,0.021507759299878634,1.6138265957674914e-05,1.0138566216277652e-05,,,,,,,,,,,,
sparse-neutral,7,7.381282819937978e-05,0.01396182789048031,0.0,0.011184224878024123,0.03411033709344167,0.02171134567551079,1.5864988457696322e-05,9.76380451109549e-06,,,,,,,,,,,,
sparse-neutral,8,7.449924137130282e-05,0.01402681673076044,0.0,0.011236353232882612,0.03418647330410843,0.021895815705967794,1.5620618679400783e-05,9.357294286129554e-06,,,,,,,,,,,,
sparse-neutral,9,7.508766072889316e-05,0.014095932892693041,0.0,0.01129176384630021,0.03427008522062959,0.022088946007133816,1.5507581743344607e-05,9.192761265408675e-06,,,,,,,,,,,,
sparse-neutral,10,7.551466914996036e-05,0.014169712477625376,0.0,0.011350872915930291,0.03434852083229401,0.022307678847459118,1.4859880236095874e-05,7.79035051227586e-06,,,,,,,,,,,,
sparse-neutral,11,7.573645956419053e-05,0.0142606126589306,0.0,0.011423637419057319,0.034445271869027246,0.022576264519966575,1.415296991039794e-05,6.761276818182584e-06,,,,,,,,,,,,
sparse-neutral,12,7.600693899037084e-05,0.014349767060939513,0.0,0.011495015036549682,0.034537182526914754,0.022841992423400948,1.3710041608362457e-05,6.183251833984645e-06,,,,,,,,,,,,
sparse-neutral,13,7.625816696442155e-05,0.014425305948142645,0.0,0.011555496391907002,0.03459653895201312,0.023085576673610508,1.3408650141526716e-05,5.699516805426593e-06,,,,,,,,,,,,
sparse-neutral,14,7.651785283030614e-05,0.014485627031111933,0.0,0.011603805195455608,0.0346263962943257,0.023297726716299216,1.3185157767734495e-05,5.199956055083919e-06,,,,,,,,,,,,
sparse-neutral,15,7.671748911993847e-05,0.014527342506520139,0.0,0.0116372175030401,0.03461543286561619,0.023476209265826515,1.2946496507631165e-05,4.781398130217054e-06,,,,,,,,,,,,
sparse-neutral,16,7.669965448385596e-05,0.014569323751235473,0.0,0.01167079893188515,0.03460094694194811,0.02365921425295444,1.2637952576333098e-05,4.495857463009798e-06,,,,,,,,,,,,
sparse-neutral,17,7.649689711713735e-05,0.014605676424937923,0.0,0.011699840519373766,0.034572844142308934,0.023833407858453035,1.2289235967254942e-05,4.164463022470641e-06,,,,,,,,,,,,
sparse-neutral,18,7.639157693664702e-05,0.014638815999708905,0.0,0.011726331115154453,0.03455679473490307,0.02398245222374304,1.208976263302637e-05,3.927277556488199e-06,,,,,,,,,,,,
sparse-neutral,19,7.611125393156073e-05,0.014656001330501675,0.0,0.011740023315187652,0.03450774098724179,0.024100754663312133,1.1786494192817442e-05,3.723177259952234e-06,,,,,,,,,,,,
sparse-neutral,20,7.560073711113113e-05,0.014664303595426415,0.0,0.011746563023763357,0.03444009859945537,0.024202105228306032,1.1552039479685882e-05,3.458514464564023e-06,,,,,,,,,,,,
sparse-neutral,21,7.509875532266325e-05,0.014671895666122271,0.0,0.01175253628396235,0.034378449789680306,0.02429452521800446,1.1316447173545973e-05,3.291209630771224e-06,,,,,,,,,,,,
sparse-neutral,22,7.456406447108755e-05,0.0146820003801968,0.0,0.011760513117051657,0.03431488070390753,0.024398758550531644,1.1070698332532343e-05,3.2915680154904e-06,,,,,,,,,,,,
sparse-neutral,23,7.409874904943329e-05,0.014701915102521126,0.0,0.011776351831826787,0.03427384403744851,0.024519616076457546,1.0860736291577198e-05,3.339559886874045e-06,,,,,,,,,,,,
sparse-neutral,24,7.379897554421252e-05,0.014731263944186114,0.0,0.011799770950457734,0.03426183219591025,0.024649146318171753,1.0697471821685223e-05,3.379790840775693e-06,,,,,,,,,,,,
sparse-neutral,25,7.36089549263451e-05,0.014768870621751935,0.0,0.011829818288386817,0.03427041828035409,0.02479104881932917,1.0600698004507231e-05,3.4146893199716946e-06,,,,,,,,,,,,
sparse-neutral,26,7.3454773131927e-05,0.014812207835657454,0.0,0.01186445722315235,0.03429061976460888,0.024944406372265485,1.046700731522543e-05,3.338198440225856e-06,,,,,,,,,,,,
sparse-neutral,27,7.332285934357393e-05,0.014857594880822458,0.0,0.011900740476526681,0.03431296732060573,0.025103868288735665,1.03116901992336e-05,3.2322237491991546e-06,,,,,,,,,,,,
sparse-neutral,28,7.321423423846382e-05,0.014902198814891179,0.0,0.011936401898760636,0.0343316932171634,0.025263751666389507,1.0177577279645911e-05,3.1727987321628056e-06,,,,,,,,,,,,
sparse-neutral,29,7.311608881321081e-05,0.0149478887562653,0.0,0.011972934222774883,0.034355645285802545,0.025422697265321863,1.004486604163215e-05,3.167607895156689e-06,,,,,,,,,,,,
sparse-neutral,30,7.300948443690569e-05,0.014991614080309749,0.0,0.01200789316113518,0.03437581236638868,0.02557756934831532,9.90669690291514e-06,3.167909632075048e-06,,,,,,,,,,,,
sparse-neutral,31,7.287077302200933e-05,0.015032251229710712,0.0,0.012040375138372972,0.03438487538256028,0.025731312842564785,9.75867255785519e-06,3.0580211599322237e-06,,,,,,,,,,,,
sparse-neutral,32,7.265117767102879e-05,0.015061992469014978,0.0,0.012064124210746189,0.034362607943461465,0.02587275033886899,9.595666773544334e-06,3.015926955909053e-06,,,,,,,,,,,,
sparse-neutral,33,7.226078164874084e-05,0.015081449438671752,0.0,0.01207961170726715,0.03431705044122485,0.02599635472954781,9.422356047828962e-06,2.970227866517085e-06,,,,,,,,,,,,
sparse-neutral,34,7.169397178569086e-05,0.015094336046869224,0.0,0.012089807631852518,0.03425547468345297,0.026109637478480635,9.315794723734954e-06,2.9162308195577113e-06,,,,,,,,,,,,
sparse-neutral,35,7.090629365443027e-05,0.01508889411264597,0.0,0.01208529654884766,0.03414975505343609,0.026193775748094318,9.181440741965184e-06,2.864208311501535e-06,,,,,,,,,,,,
sparse-neutral,36,7.000901176677561e-05,0.015062021611510141,0.0,0.012063619091561468,0.03400154467389942,0.0262346640857986,9.037748469567803e-06,2.8399378729841696e-06,,,,,,,,,,,,
sparse-neutral,37,6.90716744146807e-05,0.01501619520885586,0.0,0.012026770501967623,0.03383158754297926,0.026221445646202064,8.872354187013934e-06,2.875292055093781e-06,,,,,,,,,,,,
sparse-neutral,38,6.818149079235392e-05,0.014961181865098079,0.0,0.011982581790236934,0.0336706424412355,0.026162491647843084,8.695425844492973e-06,2.8979454692293167e-06,,,,,,,,,,,,
sparse-neutral,39,6.755296221918484e-05,0.01491482333248221,0.0,0.011945369258429605,0.033556601380474615,0.02609134373223082,8.503077868055208e-06,2.845139355356922e-06,,,,,,,,,,,,
sparse-neutral,40,6.711199632725943e-05,0.014884031776026624,0.0,0.011920647820086751,0.03348769734925418,0.026037310003348753,8.327053199385308e-06,2.7926983041791332e-06,,,,,,,,,,,,
sparse-neutral,41,6.677850803586865e-05,0.014872308587508818,0.0,0.011911202571614227,0.033461501413289726,0.02601690065010911,8.116271113444211e-06,2.7160155229840512e-06,,,,,,,,,,,,
