method,lafan_frames,lafan_sequences,measured_pilot_end_to_end_rtf,projected_steady_wall_hours,measured_startup_and_adapter_s_per_sequence,projected_startup_and_adapter_hours,observed_retry_rate,raw_projected_wall_hours,safety_factor,safe_projected_wall_hours
sparse-neutral,496672,77,0.03148415986142807,0.14478982080273337,0.6826901324093342,0.014601983387644093,0.0,0.15939180419037746,1.5,0.2390877062855662
dense,496672,77,0.0694799659900173,0.31952549692772103,0.7452306858613156,0.01593965633647814,0.0,0.3354651532641992,1.5,0.5031977298962987
gmr,496672,77,0.11915638881832846,0.5479781661775633,1.8242278009129222,0.039018205741748614,0.0,0.586996371919312,1.5,0.880494557878968
omniretarget,496672,77,9.59569884443823,44.128842004303934,6.957321091962513,0.1488093678003093,0.0,44.277651372104245,1.5,66.41647705815637
