frame,targeted_point_variance_m2,untracked_point_variance_m2,all_point_variance_m2,qpos_circular_variance_rad2
0,4.872274942312256e-05,0.00023236719338255978,0.00018645608239270048,0.005297585089531206
1,1.9554873379060977e-05,0.0001785200108339638,0.0001387787264702381,0.004269468012235223
2,1.843183990378718e-05,0.00017610106716956785,0.00013668376035312271,0.004209562466103792
3,1.743620963266151e-05,0.00017384040462978324,0.00013473935588050284,0.0041522417918326325
4,1.6486630787854236e-05,0.0001717063433308754,0.0001329014151951201,0.004097215526174317
5,1.5577326046267276e-05,0.00016968082178659492,0.00013115494785151302,0.004044059080536345
6,1.4718001791133055e-05,0.00016775215974618933,0.00012949362025742526,0.003992411487089478
7,1.3897166053482485e-05,0.0001659148370101128,0.00012791041927095523,0.003942226051028358
8,8.585140954062887e-06,0.00015521104612364368,0.00011855456983124847,0.0037935046819460327
9,8.045713204954598e-06,0.00015389218560854558,0.00011743056750764781,0.0037489291350876262
10,7.572869668602604e-06,0.00015267954125140615,0.00011640287335570526,0.003705686951531545
11,7.128712078830762e-06,0.0001515228090853868,0.0001154242848337478,0.003663431898606485
12,6.7028997314115934e-06,0.00015042332870364694,0.00011449322146058808,0.003622235488191487
13,6.29205981847098e-06,0.00014938344894631502,0.000113610601664354,0.003582160426176579
14,5.895879120292858e-06,0.00014841010044235034,0.00011278154511183596,0.003543315437802692
15,5.515451009006488e-06,0.00014749935333455803,0.00011200337775317017,0.0035056582022407615
16,5.153287451799693e-06,0.00014664372836661207,0.00011127111813790896,0.003469135175084096
17,4.810079644009947e-06,0.00014584352889984085,0.00011058516658588314,0.0034337868607146405
18,4.4853827082334624e-06,0.00014510982410788942,0.00010995371375797542,0.0033997694024986854
19,4.181715556641766e-06,0.00014443673329586542,0.00010937297886105953,0.0033669788008834495
20,3.893605019399009e-06,0.00014382325676032387,0.00010884084382509265,0.0033355627592204177
21,3.6230842382216815e-06,0.00014326362612651609,0.00010835349065444252,0.0033054317410664436
22,3.370016813000665e-06,0.000142752358405567,0.00010790677300742542,0.0032763160011126326
23,3.1327249443350222e-06,0.00014228905900693937,0.00010749997549128827,0.003248157086665969
24,2.9107637358509945e-06,0.00014187757392265378,0.0001071358713759531,0.003221113400388655
25,2.7025121550992703e-06,0.00014151573122042515,0.00010681242645409368,0.0031951026988221894
26,2.5086644595941717e-06,0.0001411933831722043,0.00010652220349405174,0.0031700005944192257
27,2.327964124808502e-06,0.0001409077629573631,0.00010626281324922444,0.0031457929043094864
28,2.1591230668283332e-06,0.0001406584006430242,0.00010603358124897524,0.0031224756583536004
29,2.0008664861847374e-06,0.00014044221451749847,0.00010583187750967004,0.003100001869651102
30,1.8525165934088001e-06,0.00014025619419872989,0.00010565527479739962,0.0030783540771070128
31,1.714372484805667e-06,0.00014009758970120456,0.00010550178539710485,0.003057419292049911
32,1.5851282270270308e-06,0.000139974761332133,0.0001053773530558565,0.003037234581700793
33,1.4641552132089628e-06,0.00013988592452743832,0.00010528048219888097,0.0030178197440578957
34,1.3501484302810291e-06,0.0001398323994481542,0.00010521183669368591,0.0029992427291695143
35,1.2503183978027825e-06,0.0001398192136189282,0.00010517698981364684,0.002969333817837851
36,1.150031325298136e-06,0.00013982900109144278,0.00010515925864990663,0.0029415886995184043
37,1.0742006921324042e-06,0.00013986650385540588,0.0001051684280645875,0.0029153456431735805
38,1.0075149792164996e-06,0.00013993341964925574,0.00010520194348174592,0.0028901359423711887
39,9.259813111728485e-07,0.0001400231729530997,0.00010524887504261799,0.00286932365865885
40,8.509687661120763e-07,0.00014013549863115598,0.000105314366164895,0.002852870663438152
41,7.608576944752321e-07,0.00014025978142241237,0.0001053850504904281,0.002840430121132835
42,6.74119276264728e-07,0.00014039249394498933,0.00010546290027780817,0.002829091102086393
43,6.151350235967454e-07,0.0001405407878113149,0.00010555937461438537,0.00281812632275776
44,5.615427530940643e-07,0.0001407145115714457,0.0001056762693668578,0.0028076607159525464
45,5.12550435991574e-07,0.00014090965656241385,0.00010581038003080829,0.0027976342748266044
46,4.666457958016392e-07,0.00014113006391892975,0.00010596420938814771,0.0027881083118856806
47,4.238390838977772e-07,0.00014137535648005352,0.00010613747713101458,0.0027790473652631008
48,3.8453014230523304e-07,0.0001416424842686432,0.0001063279957370587,0.002770422101199515
49,3.481475206087719e-07,0.0001419266474373363,0.00010653202245815444,0.0027621953538579064
50,3.138435108802521e-07,0.00014223443503023884,0.00010675428715039919,0.0027544686685677193
51,2.830870917577294e-07,0.00014254382411820596,0.00010697863986159392,0.0027469969683622175
52,2.554519810289424e-07,0.00014284728851053977,0.00010719932937816206,0.0027396898536240976
53,2.304027331021882e-07,0.00014314722554550053,0.00010741801984240096,0.002732587444731391
54,2.0767592439449032e-07,0.0001434536465261469,0.0001076421538757088,0.0027257862435203176
55,1.869985219199805e-07,0.00014376500151779326,0.00010787050076882495,0.0027192816844900406
56,1.685044285193957e-07,0.00014407652055012772,0.00010809951651972563,0.0027130225003757697
57,1.5202045379265323e-07,0.00014439676320764162,0.00010833557751917938,0.002707042084448893
58,1.372549010647534e-07,0.00014472730095009981,0.00010857978943784104,0.0027013456577448546
59,1.2403345131764607e-07,0.00014506784141025977,0.00010883188942052424,0.0026959211641780587
60,1.121212732384216e-07,0.0001454206239218153,0.00010909349825967109,0.0026907883597530355
61,1.0146550393204814e-07,0.00014578281171445168,0.00010936247516182178,0.0026859072628274
62,9.198460247931055e-08,0.00014615156858362998,0.00010963667258834233,0.002681236753885684
63,8.363044028935409e-08,0.00014652468649049207,0.00010991442247794139,0.002676786082629895
64,7.62829326386673e-08,0.00014689961530495304,0.00011019378221187446,0.0026725841747012075
65,6.980735591209408e-08,0.0001472800520376737,0.00011047749086723329,0.0026686374477663598
66,6.410656143976336e-08,0.0001476659616587306,0.00011076549788440788,0.0026649508817281624
67,5.9154019368455233e-08,0.00014806090567667712,0.00011106046776234994,0.002661544206164397
68,5.488213379589366e-08,0.00014846914182386461,0.00011136557690134743,0.002658448279999799
69,5.1271046719614765e-08,0.00014889353958502736,0.00011168297245045043,0.002655678284297037
