label,root_translation_common_scale_mean_m,root_translation_native_scale_mean_m,root_translation_scale_invariant_mean_m
dense,0.03263093026355847,0.03263093026355847,0.032382719548035614
gmr,0.29092399447730993,0.0019917379599904473,0.0019903864468974594
omniretarget,0.03648234289918462,0.030546371932935006,0.028767381201097172
sparse-a,0.00016250336292385805,0.00016250336292385805,0.0001600825017754883
sparse-b,0.00016682022340581675,0.00016682022340581675,0.00016382188842364856
sparse-neutral,0.0001739125479421826,0.0001739125479421826,0.00017105395931934082
