label,rf_kpe_targeted_mean_m,rf_kpe_untracked_mean_m
dense,0.4368028173215479,0.28389020254157865
gmr,0.43537200462718334,0.28669547204606255
omniretarget,0.42453706198065333,0.2807905853742326
sparse-neutral,0.43850351158481504,0.28784313161795705
