label,end_to_end_rtf_median,rf_kpe_all_mean_m
dense,0.0611945623864167,0.3221183562365709
gmr,0.11915638881832846,0.32386460519134275
omniretarget,9.59569884443823,0.3167272045258378
sparse-neutral,0.028545079318124646,0.3255082266096715
