case,variant,strict_contact_2cm_frame_rate,near_contact_5cm_frame_rate,proximity_10cm_frame_rate,penetration_frame_rate,foot_sticking_violation_frame_rate
box,full,0.9132653061224489,0.9540816326530612,1.0,0.0,0.0
box,no-hard,0.9132653061224489,0.9744897959183674,1.0,0.8367346938775511,0.8622448979591837
climb,full,0.8687589158345221,0.8758915834522111,0.9300998573466477,0.24393723252496433,0.017118402282453638
climb,no-hard,0.8887303851640513,0.891583452211127,0.9358059914407989,0.7517831669044223,0.7232524964336662
