pair,joint_angle_rms_mean_rad,joint_angle_rms_max_rad,robot_rf_point_rms_mean_m,robot_rf_point_rms_max_m
sparse-a__sparse-b,0.11259967659554637,0.16064355464813843,0.026855621216937582,0.08176091517963219
sparse-neutral__sparse-a,0.056942632489059314,0.13199847594647152,0.009886166052168674,0.03743723261209646
sparse-neutral__sparse-b,0.09650661487007443,0.14683177691560037,0.02275964277930958,0.07803786960737313
