label,end_to_end_rtf_median,artifact_rate
dense,0.0611945623864167,0.3333333333333333
gmr,0.11915638881832846,0.06666666666666667
omniretarget,9.59569884443823,0.5333333333333333
sparse-neutral,0.028545079318124646,0.9566666666666667
