source_frame_idx,valid,rf_kpe_all_m,rf_kpe_targeted_m,rf_kpe_untracked_m,bone_direction_error_rad,bend_plane_error_rad,root_translation_error_m,root_yaw_error_rad,joint_velocity_rms_rad_s,joint_acceleration_rms_rad_s2,joint_jerk_rms_rad_s3,pose_jump_rms_m,left_foot_speed_m_s,right_foot_speed_m_s,left_source_stance,right_source_stance,foot_skating,ground_penetration_depth_m,joint_limit_violation_rad,self_contact_count_diagnostic,artifact,solve_time_s
0,True,0.33466567418627896,0.4997121426006494,0.27965018471482217,0.8395127335705651,0.8839574459290755,0.0,0.0,0.0,0.0,0.0,0.0,0.5003036542467746,0.3148464554282996,True,True,True,0.0,0.0,0,True,0.004449973988812417
1,True,0.34105364624082785,0.5094302605716494,0.2849281081305539,0.8520540913771185,1.073273345745498,0.007075625004787395,0.2471295440714335,0.9226674616680357,0.0,0.0,0.043317730255815874,0.5003036542467746,0.3148464554282996,True,True,True,0.0,0.0,0,True,0.0007571419992018491
2,True,0.34730478596845427,0.5213015071781861,0.28930587889854364,0.8776467533289753,0.9216744360538015,0.007751459850899278,0.45347132637881504,1.0102079754041864,12.583247847148828,0.0,0.035500280115930184,0.20084687834009984,0.13042141610182412,True,True,True,0.0,0.0,0,True,0.0007567609718535095
3,True,0.35347087912026076,0.5344823163850483,0.2931337333653317,0.9146610010745371,0.8952006944928175,0.007744366360711724,0.606770406334694,1.121764280336693,11.998912464262045,172.3277722025766,0.02674992556544384,0.14405353138322988,0.1364294153392227,True,True,True,0.0,0.0,0,True,0.0007579030061606318
4,True,0.3595899266631991,0.5482110996568579,0.2967162023319795,0.9573416816595359,0.8520341778582216,0.007591863279032624,0.7106390022209644,1.2293469181066419,8.884151677058451,134.59843618147275,0.02045540030135005,0.0940009228329407,0.11024686616601169,True,True,True,0.0,0.0,0,True,0.000761359027819708
5,True,0.3652400786037682,0.5612416782495401,0.2999062120551776,0.9998127829410046,0.8114798339337999,0.0074635271914038894,0.7804950548384643,1.2885532376189186,5.554391983493988,135.32228306160852,0.017897490623941577,0.06307741712133363,0.08077588792367775,True,True,True,0.0,0.0,0,True,0.0007525330001953989
6,True,0.3700951433047734,0.5727471636977051,0.3025444698404628,1.0386701087363883,0.775957100049737,0.007433141860333566,0.8296896599859754,1.295781181421752,4.1096888213149025,103.42409257863447,0.016891229141697228,0.0426632502756517,0.060275155455972035,True,True,True,9.238201767036887e-05,0.0,0,True,0.0007503990200348198
7,True,0.3740622337763569,0.5824749203824833,0.30459133824098145,1.0729853917193894,0.7456392995895441,0.007493599816772739,0.8657796882379406,1.2576232633921645,4.351308997785024,73.42254057616442,0.01577993100873696,0.028225145529638573,0.04659738934030618,True,True,True,0.00106964110820436,0.0,0,True,0.0007531839946750551
8,True,0.377221727849635,0.5905890055819341,0.30609930193886864,1.1030889019641008,0.7199921633535723,0.007617245176922421,0.8925149804813958,1.1824731339932149,5.0222417401084005,56.446057601650175,0.014180114491052302,0.017741684153887428,0.036018407795722594,True,True,True,0.0022501168562719855,0.0,0,True,0.0007432260026689619
9,True,0.37974240639659634,0.5974585536677305,0.30717035730621833,1.1296790073062213,0.6999118876519111,0.007770272987010051,0.9122683067985745,1.083659214748551,5.445914696465005,43.73543832835584,0.012230990825074606,0.010376583917267578,0.026898621835669934,True,True,True,0.00349101798969567,0.0,0,True,0.0007400190224871039
